"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1740","WWF4",7,"Other",64.452,"DNWS","GRBL","2022-10-12 22:59:00","F",3,"WWF4",0.5,0.00775771116489791,"Havened","Dryandra",1.185
"1741","BOY7",8,"Other",36.586,"Boyicup","GRBL","2022-04-17 18:21:00","F",3,NA,0,0,"Non-havened","Upper_Warren",0.494
"1742","BOY8",8,"Other",25.847,"Boyicup","GRBL","2022-04-17 18:25:00","F",3,"BOY8",0.25,0.00967230239486207,"Non-havened","Upper_Warren",0.494
"1743","I16",8,"Other",131.632,"Perup_Sanctuary","TASH","2022-04-17 18:30:00","C",2,NA,0,0,"Havened","Upper_Warren",0.83
"1744","I19",8,"Other",12.357,"Perup_Sanctuary","TASH","2022-04-14 18:21:00","F",2,"I19",1.075,0.0869952253783281,"Havened","Upper_Warren",0.83
"1745","J15",8,"Other",163.252,"Perup_Sanctuary","TASH","2022-04-20 18:55:00","C",2,"J15",11.93,0.0730772057922721,"Havened","Upper_Warren",0.83
"1746","K12",8,"Other",97.71,"Perup_Sanctuary","GRBL","2022-04-23 18:35:00","C",2,NA,0,0,"Havened","Upper_Warren",0.83
"1747","K14",8,"Other",207.943,"Perup_Sanctuary","GRBL","2022-04-20 18:20:00","C",2,"K14",17.594,0.0846097247803485,"Havened","Upper_Warren",0.83
"1748","MOO16",8,"Other",20.52,"Moopinup","GRBL","2022-04-18 21:30:00","C",2,"MOO16",1.174,0.0572124756335283,"Non-havened","Upper_Warren",0.346
"1749","MOO18",8,"Other",130.201,"Moopinup","GRBL","2022-04-18 20:58:00","C",2,"MOO18",3.229,0.0248001167425749,"Non-havened","Upper_Warren",0.346
"1750","MOO19",8,"Other",111.174,"Moopinup","GRBL","2022-04-19 18:26:00","F",3,"MOO19",5.194,0.0467195567308903,"Non-havened","Upper_Warren",0.346
"1751","MOO20",8,"Other",11.57,"Moopinup","GRBL","2022-04-19 18:35:00","C",3,"MOO20",0.25,0.0216076058772688,"Non-havened","Upper_Warren",0.346
"1752","NH12",8,"Other",20.04,"Dryandra_main","TASH","2022-10-19 19:52:00","C",3,"NH12",1.95,0.0973053892215569,"Non-havened","Dryandra",1.39
"1753","NH36",8,"Other",210.455,"DNWS","TASH","2022-10-11 19:06:00","C",2,"NH36",2.064,0.00980732223040555,"Havened","Dryandra",1.185
"1754","NH42",8,"Other",30.073,"DNWS","TASH","2022-10-11 19:15:00","F",2,NA,0,0,"Havened","Dryandra",1.185
